,identification,Ca,Mg,Na,K,SO4,Cl,HCO3,CO3,Ca_mmol,Mg_mmol,Na_mmol,K_mmol,SO4_mmol,Cl_mmol,HCO3_mmol,CO3_mmol,GMC,7 hlr (b),7 hlr (b+h),Catboost (b),Catboost (b+h),SVM-L (b),SVM-L (b+h),SVM-P (b),SVM-P (b+h),SVM-RBF (b),SVM-RBF (b+h)
101,DLPUE5412-110218,95.764,27.9227,42.2681,8.15311,49.349,15.385,390.0,30.0,2.389440591,1.148845916,1.838561296,0.20852850399999998,0.513752394,0.43399153700000004,6.391766093999999,0.499933342,Ca-HCO3,Ca-HCO3,Ca-Na-HCO3,Na-HCO3,Na-HCO3,Ca-HCO3,Ca-HCO3,Ca-HCO3,Ca-HCO3,Na-HCO3,Na-HCO3
102,DLQUE2089-280615,14.47,3.513,121.3,5.414,93.35947,27.4,211.46,11.64,0.36104596,0.144538161,5.2762599969999995,0.138471494,0.9719275209999999,0.772919605,3.465648355,0.193974137,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
103,DLQUE2089-260616,50.29,13.69,181.1,18.25,128.4108,38.25,223.56,28.08,1.254803134,0.563258589,7.877417027999999,0.466772213,1.336832681,1.078984485,3.663956995,0.46793760799999995,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
104,DLQUE2090-260616,2.4859999999999998,1.061,174.7,2.0780000000000003,98.3418,28.11,68.04,99.36,0.062029043,0.043653569,7.599032329,0.053148090999999995,1.023796535,0.792947814,1.115117346,1.655779229,Na-CO3,Na-HCO3,Na-HCO3-Cl,Na-CO3,Na-CO3,Na-CO3,Na-CO3,Na-CO3,Na-CO3,Na-CO3,Na-CO3
105,DLQUE2090-161218,2.113,0.0574,178.51,1.6381,109.5443,31.5363,88.29,93.74,0.052722192,0.002361654,7.76475822,0.041896962,1.140421213,0.8895994359999999,1.446997509,1.56212505,Na-CO3,Na-HCO3,Na-HCO3-Cl,Ca-CO3,Ca-Na-CO3,Na-CO3,Na-CO3-HCO3,Na-CO3,Na-CO3-HCO3,Na-CO3,Na-CO3-HCO3
106,DLQUE2126-060414,26.74,9.18,25.36,6.45,11.0,19.0,183.0,12.0,0.6671989620000001,0.377700062,1.10309937,0.164968809,0.11451653199999999,0.53596615,2.999213321,0.199973337,Na-HCO3,Na-HCO3,Na-Ca-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
107,DLSAN2281-110916,21.88,7.069,101.3,21.52,71.0647,22.63,202.0,28.0,0.545935426,0.290845505,4.406307813,0.5504075620000001,0.739825727,0.638363893,3.3106070539999997,0.466604453,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
108,DLSAN2325-111118,9.522,1.054,256.62,15.105,90.3496,35.9392,163.62,76.76,0.237586706,0.043365562999999996,11.16235648,0.38633393299999996,0.940592987,1.013799718,2.681591714,1.279162778,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
109,DLTAB2418-151017,32.47,32.56,184.5,1.774,5.2116,22.4611,482.56,24.96,0.810170168,1.339642049,8.025308899,0.045372817,0.054255850999999994,0.633599436,7.908745247000001,0.415944541,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
110,DLTAB2453M1-290418,2.266,1.636,92.25,1.568,6.3253,20.0576,128.865,59.64,0.056539747,0.067311253,4.01265445,0.040104045,0.06585012900000001,0.565799718,2.11198702,0.993867484,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3,Na-HCO3
